Kirka;79-15;22
Kirsi;86-22;32
Pauli;82-6;43
Kirsi;69-50;40
Tiina;26+72;1
Toni;34+71;66
Mike;1+6;61
Pauli;73-35;78
Paula;83-17;80
Kimmo;25+29;7
Kirka;92+47;56
Pauli;89-30;1
Tiina;84+16;45
Mike;63-12;77
Arto;73-20;17
Juho;76-27;39
Paula;23+13;43
Juha;61-19;72
Kimmo;28+38;25
Tanja;10+26;47
Kirsi;62-1;91
Arto;76-27;75
Paula;85-48;45
Kirka;64+99;37
Antti;66-25;19
Kimmo;98+13;45
Arto;71-23;39
Tea;91+94;53
Tiina;68-27;53
Kirsi;71-37;8
Mike;97-16;5
Kirsi;60+18;51
Mike;82+19;4
Juho;95+26;30
Mia;93-27;38
Matti;71-7;74
Arto;95+23;74
Matti;80-48;6
Pekka;68-44;22
Erkki;1+90;42
Tuula;61-37;85
Antti;37+64;5
Kirsi;74-47;85
Taina;16+43;24
Juho;21+38;83
Taina;62-33;10
Matti;59+2;20
